link,latitude,longitude,price_per_square_meter,floor,floors_number,rooms_number,total_square_meters,construction_year,wall_type,housing_comlex_name,bathroom,former_hostel,city_name,street_name
https://krisha.kz/a/show/698534665,42.905483091423,71.339662046622,323193.91634980985,2.0,5.0,4,105.2,0,UNKNOWN,NONE,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/698840658,43.636715649704,51.182007953373,343839.54154727794,3.0,5.0,1,34.9,0,UNKNOWN,NONE,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/694562104,51.12989474608,71.398379566076,546511.6279069767,1.0,9.0,1,43.0,0,UNKNOWN,GREENLINE.BI CITY SEOUL,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/690842827,51.083050066996,71.466407280904,371000.0,,,2,51.25,0,UNKNOWN,JETISU.AQSU,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/672398457,51.16186553485,53.037086056526,230000.0,,,4,140.6,0,UNKNOWN,АДАЛ,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/697577201,44.805850313047,65.502044749627,342465.7534246575,4.0,5.0,3,73.0,0,UNKNOWN,NONE,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/696689959,51.171079,71.356552,373711.3402061856,4.0,12.0,1,38.8,0,UNKNOWN,RIO DE JANEIRO,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/689525805,43.295139104096,76.83098754476,320000.0,,,1,47.4,0,UNKNOWN,КАСПИЙ,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/686944394,51.144223611993,71.379535748512,557142.8571428572,2.0,9.0,3,70.0,0,UNKNOWN,АРКАДА,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/698136316,51.140341,71.383465,586346.1538461539,2.0,10.0,2,52.0,0,UNKNOWN,MANHATTAN,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/688300100,43.234278313101,76.959708634312,615796.5194109773,17.0,22.0,3,149.4,0,UNKNOWN,АЛМАТЫ ТАУЭРС,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/696426327,43.19167276922,76.852328935764,655577.2994129158,2.0,3.0,3,102.2,0,UNKNOWN,SICILIA,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/697506177,43.253602066319,76.86392910949,674698.7951807228,5.0,12.0,1,41.5,0,UNKNOWN,ADELE,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/688589223,51.130060118138,71.385927199881,456000.0,,,3,89.99,0,UNKNOWN,SULTAN BEIBARYS,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/694787602,42.356492514354,69.629271748411,698000.0,,,3,72.49,0,UNKNOWN,URBAN HILLS,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/695240864,42.415234150267,69.626462784637,315000.0,,,3,83.51,0,UNKNOWN,BAQSARAY,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/694706344,43.309332113164,76.994698481907,449999.99999999994,,,3,65.15,0,UNKNOWN,DREAM CITY. ECO,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/697335399,43.182304178356,76.866134587342,1320000.0,,,3,105.74,0,UNKNOWN,BIOGRAPHY,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/695111432,51.106191411736,71.44382700958,530000.0,,,1,48.76,0,UNKNOWN,NOHO,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/667781166,51.128241,71.497138,512445.0951683748,5.0,12.0,3,68.3,0,UNKNOWN,NONE,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/693832406,43.311918,76.89639,510588.23529411765,7.0,7.0,1,42.5,0,UNKNOWN,СЕВЕРНОЕ КОЛЬЦО,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/695192515,43.208605441891,76.959887177624,2009803.9215686275,2.0,3.0,3,102.0,0,UNKNOWN,AUTOGRAPH,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/694707415,51.097817718366,71.446291667954,624000.0,,,2,49.42,0,UNKNOWN,CAPITAL PARK. EMOTIONS,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/698632658,43.323613,76.913485,578571.4285714285,3.0,5.0,1,42.0,0,UNKNOWN,NONE,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/674726527,51.115698740539,71.461850549584,703738.3177570093,,,2,74.9,0,UNKNOWN,MONACO RESIDENCE,НЕТ,False,UNKNOWN,UNKNOWN
